# Name                                                Size    Rank    OptimalThreshold    OptimalShrinkage        Erank    Elbow    EnergyRatio    StableRank    NuclearRank
wikipedia_link_sah                                   15531   10209                1194                1511   5548.78         139            611       2.52277       58.5688
wikipedia_link_se                                     8622    5846                 732                 913   2391.37         192             97      12.9308        89.3281
wikipedia_link_so                                     7439    4580                 544                 680   2399.27         136            408       3.78113       56.6838
wikipedia_link_tk                                     6138    4724                 533                 620   2280.7           97            223       2.60104       40.5358
wikipedia_link_vls                                    9941    7171                 888                1154   4325.33         185           1586       8.04774      133.03
wikipedia_link_xal                                    2697    1666                  84                 110    451.599         16              4       1.73836        8.84661
wikipedia_link_xmf                                   15600   10214                1544                1876   5090.99         250            826       4.78988       89.7449
windsurfers                                             43      43                   8                  10     18.9067         5              6       1.68449        4.27092
word_adjacency_darwin                                 7381    2698                 402                 484   1594.23         181            486      10.338         94.7133
word_adjacency_french                                 8325    2717                 304                 386   1819.65         197            684      16.8581       130.142
word_adjacency_spanish                               11586    2794                 415                 499   1634.04         170            423      10.6507        92.9351
yeast_transcription                                    916     123                   8                  10     97.7855        18             58      10.9365        29.6083
zebrafish_meso                                          71      71                   6                  10     41.474          6             17       1.80914        6.53456
zebrafish_rnn                                         4589    4589                1103                1258   2336.3          262            943      16.4992       160.31
zebras                                                  27      26                   4                   5     17.3513         1              8       1.47089        3.96007
