# Name                                                nbVertices    nbEdges    binDensity    rank    srank    nrank    elbow    energy    thrank    shrank    erank
us_congress_S109                                             101       2823   0.55901         101      1.6      6.7        6        22         6         9     57.6
us_congress_S110                                             102       2779   0.539507        102      1.6      6.7        6        23         6         9     58.4
us_congress_S111                                             109       3645   0.619266        109      1.4      5.9        6        18         6         9     57.5
us_congress_S112                                             101       3914   0.77505         101      1.2      4.3        4         6         9        15     44.6
us_congress_S113                                             105       3932   0.720147        105      1.3      4.7        6         7         9        15     48.5
us_congress_S114                                             100       3696   0.746667        100      1.3      4.5        6         6         7        11     45.5
us_congress_S93                                              101       2439   0.48297         101      1.7      7.5        6        29         5         6     62.9
us_congress_S94                                              100       2432   0.491313        100      1.7      7.3        6        27         6         8     61
us_congress_S95                                              104       2336   0.436146        104      1.8      8.2        6        32         5         6     66.5
us_congress_S96                                              101       2275   0.450495        101      1.7      7.9        4        30         4         7     63.9
us_congress_S97                                              101       2073   0.410495        101      2        8.5        8        31         6         7     63.6
us_congress_S98                                              101       2194   0.434455        101      1.9      8.4        6        30         5         8     63.6
us_congress_S99                                              101       2177   0.431089        101      1.9      8.6        4        33         4         7     64.9
webkb_webkb_cornell_cocite                                   346      26832   0.22478         344      2.2     10.8       17        23        72        84    135.9
webkb_webkb_cornell_link1                                    349       1393   0.0114696       253      9.4     34.4       24        87        28        42    171.9
webkb_webkb_texas_cocite                                     334      32988   0.296596        334      2.6     11.5       21        20        66        76    120.4
webkb_webkb_texas_link1                                      286       1002   0.012293        220     12.2     37.5       39        82        21        28    155.3
webkb_webkb_washington_cocite                                434      30462   0.162099        434      2.5     10.5       24        14        95       109    124.8
webkb_webkb_washington_link1                                 433       1941   0.0103766       321      7.7     32.4       32        96        32        44    206.2
webkb_webkb_wisconsin_cocite                                 348      33250   0.275349        348      1.7      8.5       15        19        78        91    118.7
webkb_webkb_wisconsin_link1                                  300       1155   0.0128763       232      8.9     33.2       30        85        28        36    164.7
wiki_rfa                                                   11381     198275   0.0014593      3475     10.9    123.3      128       993       456       600   2235.7
wiki_science                                                 687       6523   0.0276819       641      7.1     40         42       159        82       106    383.1
wiki_talk_br                                                1181      13754   0.00216421      428      1.8      5         23         4       108       116     43.9
wiki_talk_cy                                                2233      10740   0.000897863     610      1.5      5.7       25         4       140       151    105.3
wiki_talk_eo                                                7586      47070   0.000301739    1553      3.2     13.2       55        13       345       433    211
wiki_talk_gl                                                8097      63809   0.000355116    1061      2        8         40         9       276       292    130.6
wiki_talk_ht                                                 536       1530   0.00333729      197      1.2      4.5        9         3        25        25     69.9
wiki_talk_oc                                                3144      11059   0.000489294     452      1.8      5.6       21         5        81        88     62.8
wikipedia_link_bcl                                          8130     349496   0.00528828     5815      2.4     32.2      146        64       634       775   2240.6
wikipedia_link_bh                                          15581     382620   0.00157618     8008      2.6     40.6      140        70       666       829   3400.5
wikipedia_link_bug                                         14266    6504060   0.0319603     13579      9.8     33.6       53        23        53        66   1287.6
wikipedia_link_cdo                                         14816     306031   0.00139422     9581      4.3     83.5      183       637      1135      1387   4670
wikipedia_link_co                                           8252     177420   0.00260546     4648      3.9     44.9       97        92       471       602   2256.1
wikipedia_link_crh                                          8286     175470   0.00255603     4923      9       64.4      145        46       346       425   2049.2
wikipedia_link_csb                                          5561     191255   0.00618453     2509      1.2     13.4       30         5       240       335   1236.6
wikipedia_link_diq                                         11810     310697   0.00222779     7380      5       65.9      176       174       882      1102   3326.7
wikipedia_link_dv                                           4266     206809   0.0113639      2242      1.5     11.5       24         2       229       297    887.3
wikipedia_link_eml                                         11856    1895120   0.0134822      8712      1.2     15.8       89        15      1377      1641   2959.8
wikipedia_link_fiu_vro                                      6424     280614   0.00680089     3795      1.9     21.8       56        18       424       538   1691.8
wikipedia_link_fo                                          17649     296944   0.000953364   12042      4.8    116.7      280      1728      1707      2100   6675.2
wikipedia_link_gag                                          2929     118603   0.0138247      1721      2.6     20.7       57        31       272       316    622.6
wikipedia_link_gan                                          9189     176051   0.00208521     5971      9.9    106.8      213       456       617       827   3015.2
wikipedia_link_glk                                          7332     340451   0.00633387     5457      4       41.6      239       104       383       442   1873.7
wikipedia_link_gv                                           6862     150595   0.00319869     4814     10       93.7      181       380       623       777   2372
wikipedia_link_hak                                         11487     427057   0.00323676     7548      6.1     58.1      163        49       765       985   3107.2
wikipedia_link_hif                                          8758     335267   0.004371       3667      2.4     24         66        22       595       731   1439.8
wikipedia_link_kv                                           6914     211650   0.00442751     4878      3.3     45.5       98       236       896      1055   2280.8
wikipedia_link_lez                                          5171     204133   0.00763569     3753      7.4     54.1      102        68       602       712   1480
wikipedia_link_lo                                           3811     132837   0.00914621     1937      1.1     11.5       24         4       185       241    956.4
wikipedia_link_map_bms                                     14162     345041   0.00172049     6667      4.3     54.8      204       181       943      1077   2641
wikipedia_link_mhr                                         14569     226643   0.00106786     7921      7.2    110.2      219       876       950      1195   4417.3
wikipedia_link_myv                                          6293     142571   0.00360068     4533      9.2     82.8      134       280       662       797   2152
wikipedia_link_mzn                                         18112    1476270   0.00450045    10510      5.2     40.8      169        26       770       934   2986.4
wikipedia_link_nah                                         10285     180916   0.00171045     6646     13.7    138.7      305       670       798       983   3491.3
wikipedia_link_nap                                         15441     993392   0.00416675    12924      9.9     91.9      224        77      1737      2245   4489.6
wikipedia_link_nds_nl                                      10453     140501   0.00128599     7592     22.3    226.5      362      1458      1043      1297   4369.4
wikipedia_link_nso                                          8152     455809   0.00685974     7497      3.4     45        186        92       855      1253   2911
wikipedia_link_pam                                          9537     220180   0.00242103     6122      8.8     88.3      252       225       878      1041   2685.5
wikipedia_link_ps                                          12949     637529   0.00380243     6086      1.8     21.5       83        14       662       799   2388
wikipedia_link_roa_tara                                    10423    1089950   0.0100337      9415     10.6     67.4      194        60       861      1173   2399.3
wikipedia_link_rue                                          7621     178842   0.00307966     5552      2.7     48.3       85       419       631       777   2919.7
wikipedia_link_sah                                         15531     352209   0.00146026    10209      2.5     58.6      139       611      1194      1511   5548.8
wikipedia_link_se                                           8622     259998   0.00349788     5846     12.9     89.3      192        97       732       913   2391.4
wikipedia_link_so                                           7439     125060   0.0022602      4580      3.8     56.7      136       408       544       680   2399.3
wikipedia_link_tk                                           6138     167810   0.00445414     4724      2.6     40.5       97       223       533       620   2280.7
wikipedia_link_vls                                          9941     128212   0.00129751     7171      8      133        185      1586       888      1154   4325.3
wikipedia_link_xal                                          2697     232680   0.0319887      1666      1.7      8.8       16         4        84       110    451.6
wikipedia_link_xmf                                         15600     405676   0.00166709    10214      4.8     89.7      250       826      1544      1876   5091
windsurfers                                                   43        336   0.372093         43      1.7      4.3        5         6         8        10     18.9
word_adjacency_darwin                                       7381      46281   0.000849517    2698     10.3     94.7      181       486       402       484   1594.2
word_adjacency_french                                       8325      24295   0.000350549    2717     16.9    130.1      197       684       304       386   1819.6
word_adjacency_spanish                                     11586      45129   0.000336193    2794     10.7     92.9      170       423       415       499   1634
yeast_transcription                                          916       1094   0.00130527      123     10.9     29.6       18        58         8        10     97.8
zebrafish_meso                                                71       1427   0.287123         71      1.8      6.5        6        17         6        10     41.5
zebrafish_rnn                                               4589    2106610   0.100034       4589     16.5    160.3      262       943      1103      1258   2336.3
zebras                                                        27        111   0.316239         26      1.5      4          1         8         4         5     17.4
